,COMPETITION_WYID_x,MATCH_WYID,PLAYER_WYID,PASSLENGTH,LONGPASSLENGTH,DRIBBLEDISTANCEFROMOPPONENTGOAL,BALLRECOVERIES,DUELS,DEFENSIVEDUELS,OFFENSIVEDUELS,AERIALDUELS,FOULS,GOALS,ASSISTS,PASSES,SMARTPASSES,PASSESTOFINALTHIRD,CROSSES,DRIBBLES,SHOTS,HEADSHOTS,INTERCEPTIONS,SUCCESSFULDEFENSIVEACTION,YELLOWCARDS,REDCARDS,DIRECTREDCARDS,SUCCESSFULATTACKINGACTIONS,FREEKICKS,DIRECTFREEKICKS,CORNERS,PENALTIES,ACCELERATIONS,LOOSEBALLDUELS,MISSEDBALLS,FORWARDPASSES,BACKPASSES,THROUGHPASSES,KEYPASSES,VERTICALPASSES,LONGPASSES,SHOTASSISTS,SHOTONTARGETASSISTS,LINKUPPLAYS,OPPONENTHALFRECOVERIES,DANGEROUSOPPONENTHALFRECOVERIES,BALLLOSSES,LOSSES,OWNHALFLOSSES,DANGEROUSOWNHALFLOSSES,DUELSWON_AVERAGE,DEFENSIVEDUELSWON_AVERAGE,OFFENSIVEDUELSWON_AVERAGE,SUCCESSFULPASSES_AVERAGE,SUCCESSFULSMARTPASSES_AVERAGE,SUCCESSFULCROSSES_AVERAGE,SUCCESSFULFORWARDPASSES_AVERAGE,SUCCESSFULBACKPASSES_AVERAGE,SUCCESSFULTHROUGHPASSES_AVERAGE,SUCCESSFULKEYPASSES_AVERAGE,SUCCESSFULVERTICALPASSES_AVERAGE,SUCCESSFULLONGPASSES_AVERAGE,SUCCESSFULDRIBBLES_AVERAGE,DEFENSIVEACTIONS,ATTACKINGACTIONS,FREEKICKSONTARGET,DIRECTFREEKICKSONTARGET_AVERAGE,SUCCESSFULPENALTIES,SUCCESSFULLINKUPPLAYS_AVERAGE,LOOSEBALLDUELSWON,SUCCESSFULPASSESTOFINALTHIRD_AVERAGE,XGSHOT,XGASSIST,XGSAVE,RECEIVEDPASS,TOUCHINBOX,PROGRESSIVERUN,OFFSIDES,CLEARANCES,SECONDASSISTS,THIRDASSISTS,FOULSSUFFERED,PROGRESSIVEPASSES,COUNTERPRESSINGRECOVERIES,SLIDINGTACKLES,GOALKICKS,SHOTSBLOCKED,SHOTSONTARGET_AVERAGE,SUCCESSFULPROGRESSIVEPASSES_AVERAGE,SUCCESSFULSLIDINGTACKLES_AVERAGE,SUCCESSFULGOALKICKS_AVERAGE,DRIBBLESAGAINST,DRIBBLESAGAINSTWON_AVERAGE,GOALKICKSSHORT,GOALKICKSLONG,FIELDAERIALDUELS,FIELDAERIALDUELSWON_AVERAGE,GKCONCEDEDGOALS,GKSHOTSAGAINST,GKEXITS,GKAERIALDUELS,GKSAVES_AVERAGE,GKSUCCESSFULEXITS_AVERAGE,GKAERIALDUELSWON_AVERAGE,NEWDUELSWON_AVERAGE,NEWDEFENSIVEDUELSWON_AVERAGE,NEWOFFENSIVEDUELSWON_AVERAGE,NEWSUCCESSFULDRIBBLES_AVERAGE,LATERALPASSES,SUCCESSFULLATERALPASSES_AVERAGE,SHORTNAME,COMPETITIONNAME,TEAM_WYID,MATCHLABEL,DATE,COMPETITION_WYID_y,SEASON_WYID,TEAMNAME,COMPETITION_WYID,DUELSWON_PERCENT,DEFENSIVEDUELSWON_PERCENT,OFFENSIVEDUELSWON_PERCENT,AERIALDUELSWON,SUCCESSFULPASSES_PERCENT,SUCCESSFULSMARTPASSES_PERCENT,SUCCESSFULPASSESTOFINALTHIRD_PERCENT,SUCCESSFULCROSSES_PERCENT,SUCCESSFULDRIBBLES_PERCENT,SHOTSONTARGET_PERCENT,HEADSHOTSONTARGET,GOALCONVERSION,DIRECTFREEKICKSONTARGET_PERCENT,PENALTIESCONVERSION,WIN,SUCCESSFULFORWARDPASSES_PERCENT,SUCCESSFULBACKPASSES_PERCENT,SUCCESSFULTHROUGHPASSES_PERCENT,SUCCESSFULKEYPASSES_PERCENT,SUCCESSFULVERTICALPASSES_PERCENT,SUCCESSFULLONGPASSES_PERCENT,SUCCESSFULSHOTASSISTS,SUCCESSFULLINKUPPLAYS_PERCENT,YELLOWCARDSPERFOUL,SUCCESSFULPROGRESSIVEPASSES_PERCENT,SUCCESSFULSLIDINGTACKLES_PERCENT,SUCCESSFULGOALKICKS_PERCENT,DRIBBLESAGAINSTWON_PERCENT,FIELDAERIALDUELSWON_PERCENT,GKSAVES_PERCENT,GKSUCCESSFULEXITS_PERCENT,GKAERIALDUELSWON_PERCENT,NEWDUELSWON_PERCENT,NEWDEFENSIVEDUELSWON_PERCENT,NEWOFFENSIVEDUELSWON_PERCENT,NEWSUCCESSFULDRIBBLES_PERCENT,SUCCESSFULLATERALPASSES_PERCENT,POSITION1NAME,POSITION1CODE,POSITION1PERCENT,POSITION2NAME,POSITION2CODE,POSITION2PERCENT,POSITION3NAME,POSITION3CODE,POSITION3PERCENT,MINUTESONFIELD
863,329,5728153,1231842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S. Fumen Michael,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0
864,329,5728153,1170320,13.98,31.9,53.9,6.43,29.39,9.18,9.18,5.51,0.92,0.92,0.0,22.04,0.0,1.84,1.84,2.76,0.92,0.92,2.76,9.18,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.92,5.51,0.0,9.18,4.59,0.0,1.84,5.51,0.92,1.84,1.84,2.76,3.67,0.92,0.0,10.1,1.84,0.0,8.27,1.84,4.59,18.37,0.0,0.92,7.35,3.67,0.0,1.84,4.59,0.92,0.92,11.94,5.52,0.0,0.0,0.0,1.84,0.92,1.84,0.28,0.36,0.0,16.53,2.76,0.92,0.0,0.92,0.0,0.0,0.92,5.51,5.51,0.0,0.0,0.0,0.92,4.59,0.0,0.0,2.76,1.84,0.0,0.0,5.51,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,6.43,3.67,0.92,5.51,4.59,M. Uhd,2nd Division,7497.0,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,Roskilde,329,28.13,20.0,50.0,16.67,83.33,0.0,100.0,50.0,33.33,100.0,100.0,100.0,0.0,0.0,100.0,80.0,80.0,0.0,100.0,83.33,100.0,50.0,66.67,0.0,83.33,0.0,0.0,66.67,16.67,0.0,0.0,0.0,40.63,70.0,40.0,33.33,83.33,Left Wing Forward,lwf,100.0,,,,,,,98
875,329,5728153,1074519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K. Kjellingbro,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0
876,329,5728153,980693,19.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F. Vinther Palle,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,18.75,20.0,40.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Striker,cf,51.0,Right Wing Forward,rwf,48.0,,,,40
877,329,5728153,942273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Z. Hamade,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0
878,329,5728153,930432,11.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P. Williams,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Striker,cf,100.0,,,,,,,38
879,329,5728153,796696,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M. Lysholm,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,30.77,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Striker,cf,100.0,,,,,,,19
880,329,5728153,782048,20.63,35.91,0.0,13.78,18.37,4.59,1.84,7.35,1.84,0.0,0.0,52.35,0.0,9.18,0.0,0.0,0.0,0.0,3.67,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,0.0,26.63,1.84,0.0,0.0,20.2,13.78,0.0,0.0,0.0,2.76,0.0,0.0,11.94,2.76,0.92,9.18,1.84,0.92,42.24,0.0,0.0,17.45,1.84,0.0,0.0,19.29,8.27,0.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,32.14,0.92,0.92,0.0,1.84,0.0,0.0,1.84,10.1,9.18,0.92,4.59,0.0,0.0,9.18,0.0,4.59,1.84,1.84,4.59,0.0,7.35,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,4.59,1.84,0.0,20.2,19.29,M. Lauritsen,2nd Division,7488.0,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,Vendsyssel,329,50.0,40.0,50.0,87.5,80.7,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.52,100.0,0.0,0.0,95.45,60.0,0.0,0.0,0.0,90.91,0.0,100.0,100.0,87.5,0.0,0.0,0.0,70.0,100.0,100.0,0.0,95.45,Left Centre Back (3 at the back),lcb3,90.0,,,,,,,98
891,329,5728153,767448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M. Hammelboe,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right Centre Midfielder,rcmf,100.0,,,,,,,5
892,329,5728153,766640,18.75,33.14,0.0,16.53,22.04,7.35,2.76,8.27,1.84,0.0,0.0,45.92,0.0,5.51,0.0,0.0,0.0,0.0,9.18,15.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.92,14.69,7.35,0.92,0.0,18.37,6.43,0.0,0.0,0.0,6.43,0.92,0.0,9.18,4.59,0.0,9.18,1.84,0.0,36.73,0.0,0.0,10.1,6.43,0.0,0.0,15.61,2.76,0.0,17.45,0.0,0.0,0.0,0.0,0.0,0.92,2.76,0.0,0.0,0.0,25.71,0.0,0.92,0.0,3.67,0.0,0.0,0.92,5.51,9.18,0.92,0.0,0.0,0.0,2.76,0.92,0.0,0.92,0.0,0.0,0.0,8.27,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,5.51,0.0,0.0,18.37,15.61,K. Nyegaard,2nd Division,7497.0,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,Roskilde,329,41.67,25.0,0.0,77.78,80.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.75,87.5,0.0,0.0,85.0,42.86,0.0,0.0,0.0,50.0,100.0,0.0,0.0,77.78,0.0,0.0,0.0,58.33,75.0,0.0,0.0,85.0,Centre Back,cb,100.0,,,,,,,98
903,329,5728153,764620,21.77,39.47,0.0,17.45,24.8,11.02,1.84,4.59,1.84,0.0,0.0,40.41,0.0,6.43,0.92,0.0,0.0,0.0,5.51,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,0.0,16.53,3.67,0.0,0.0,18.37,6.43,0.0,0.0,0.0,4.59,0.0,0.0,11.02,4.59,0.0,11.94,2.76,0.92,29.39,0.0,0.0,8.27,3.67,0.0,0.0,15.61,2.76,0.0,16.53,0.92,0.0,0.0,0.0,0.0,4.59,2.76,0.0,0.0,0.0,19.29,0.92,0.0,0.0,5.51,0.0,0.0,0.0,4.59,5.51,0.0,0.0,0.92,0.0,1.84,0.0,0.0,3.67,1.84,0.0,0.0,4.59,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.61,7.35,0.0,0.0,18.37,15.61,B. Clemmensen,2nd Division,7488.0,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,Vendsyssel,329,48.15,25.0,50.0,80.0,72.73,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,85.0,42.86,0.0,0.0,0.0,40.0,0.0,0.0,50.0,80.0,0.0,0.0,0.0,62.96,66.67,0.0,0.0,85.0,Centre Back,cb,90.0,,,,,,,98
914,329,5728153,754550,15.42,15.81,92.4,7.38,17.7,1.48,11.8,1.48,1.48,0.0,0.0,25.08,0.0,0.0,5.9,1.48,1.48,0.0,2.95,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,10.33,5.9,0.0,0.0,4.43,1.48,1.48,0.0,0.0,4.43,0.0,0.0,16.23,1.48,0.0,5.9,0.0,4.43,13.28,0.0,0.0,5.9,5.9,0.0,0.0,1.48,1.48,0.0,4.43,8.86,0.0,0.0,0.0,0.0,1.48,0.0,0.11,0.07,0.0,8.85,0.0,1.48,0.0,1.48,0.0,0.0,1.48,2.95,2.95,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,1.48,2.95,0.0,4.43,1.48,S. Simpson,2nd Division,7488.0,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,Vendsyssel,329,33.33,0.0,37.5,0.0,52.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,100.0,0.0,0.0,33.33,100.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,100.0,25.0,0.0,33.33,Right Winger,rw,100.0,,,,,,,61
925,329,5728153,747031,34.27,51.44,0.0,5.51,1.84,0.0,0.0,1.84,0.0,0.0,0.0,47.76,0.0,6.43,0.0,0.0,0.0,0.0,0.92,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71,0.0,0.0,0.0,22.04,19.29,0.0,0.0,0.0,0.0,0.0,0.0,9.18,2.76,0.0,0.0,0.0,0.0,41.33,0.0,0.0,20.2,0.0,0.0,0.0,21.12,12.86,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.48,29.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,0.0,0.0,4.59,0.0,0.0,11.94,0.0,3.67,0.0,0.0,0.92,3.67,0.0,0.0,0.0,3.67,3.67,1.84,3.67,0.0,0.0,0.0,0.0,0.0,0.0,22.04,21.12,O. Reenberg,2nd Division,7497.0,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,Roskilde,329,0.0,0.0,0.0,0.0,86.54,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,78.57,0.0,0.0,0.0,95.83,66.67,0.0,0.0,0.0,92.86,0.0,80.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,95.83,Goalkeeper,gk,100.0,,,,,,,98
936,329,5728153,692747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M. Houkjær,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0
937,329,5728153,686891,36.45,51.54,0.0,3.67,0.92,0.0,0.0,0.92,0.0,0.0,0.0,23.88,0.0,3.67,0.0,0.0,0.0,0.0,1.84,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53,0.0,0.0,0.0,5.51,12.86,0.0,0.0,0.0,0.0,0.0,0.0,8.27,2.76,0.92,0.92,0.0,0.0,16.53,0.0,0.0,9.18,0.0,0.0,0.0,5.51,5.51,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,1.39,12.86,0.0,0.0,0.0,2.76,0.0,0.0,0.0,10.1,1.84,0.0,0.92,0.0,0.0,5.51,0.0,0.92,0.0,0.0,0.0,0.92,0.0,0.0,1.84,3.67,1.84,0.92,1.84,0.0,0.92,0.92,0.0,0.0,0.0,5.51,5.51,L. Schulz,2nd Division,7488.0,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,Vendsyssel,329,100.0,0.0,0.0,100.0,69.23,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.56,0.0,0.0,0.0,100.0,42.86,0.0,0.0,0.0,54.55,0.0,100.0,0.0,0.0,50.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,Goalkeeper,gk,100.0,,,,,,,98
948,329,5728153,684699,11.72,0.0,0.0,12.35,26.47,7.06,12.35,0.0,3.53,0.0,0.0,26.47,0.0,7.06,0.0,0.0,0.0,0.0,1.76,7.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,7.06,0.0,10.59,1.76,0.0,0.0,1.76,0.0,0.0,0.0,0.0,5.29,0.0,0.0,10.59,5.29,0.0,14.12,3.53,7.06,21.18,0.0,0.0,10.59,1.76,0.0,0.0,1.76,0.0,0.0,10.58,0.0,0.0,0.0,0.0,0.0,3.53,7.06,0.0,0.0,0.0,8.82,0.0,0.0,0.0,0.0,0.0,0.0,3.53,5.29,7.06,1.76,0.0,0.0,0.0,3.53,1.76,0.0,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12,3.53,7.06,0.0,1.76,1.76,A. Owusu,2nd Division,,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,,329,53.33,50.0,57.14,0.0,80.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,66.67,100.0,0.0,100.0,0.0,0.0,0.0,0.0,53.33,50.0,57.14,0.0,100.0,Right Centre Midfielder,rcmf,100.0,,,,,,,51
949,329,5728153,679476,16.79,20.71,0.0,9.15,41.19,12.2,6.1,10.68,4.58,1.53,0.0,32.03,0.0,4.58,0.0,0.0,3.05,1.53,10.68,19.83,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,12.2,4.58,4.58,9.15,0.0,0.0,10.68,4.58,0.0,0.0,0.0,1.53,0.0,0.0,19.83,9.15,0.0,18.31,1.53,1.53,24.41,0.0,0.0,3.05,9.15,0.0,0.0,7.63,1.53,0.0,25.93,3.05,0.0,0.0,0.0,0.0,9.15,1.53,0.47,0.0,0.0,21.36,4.58,0.0,0.0,6.1,0.0,0.0,4.58,1.53,4.58,3.05,0.0,0.0,3.05,0.0,3.05,0.0,1.53,0.0,0.0,0.0,10.68,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88,6.1,1.53,0.0,10.68,7.63,M. Skøtt,2nd Division,7497.0,"Roskilde - Vendsyssel, 2 - 0",2025-08-22 19:00:00,329,191708,Roskilde,329,44.44,12.5,25.0,57.14,76.19,0.0,33.33,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,66.67,100.0,0.0,0.0,71.43,33.33,0.0,0.0,0.0,0.0,100.0,0.0,0.0,57.14,0.0,0.0,0.0,55.56,50.0,25.0,0.0,71.43,Right Centre Midfielder,rcmf,100.0,,,,,,,59
